广东频道,#genre#
CCTV-17,http://171.118.171.98:8085/rtp/226.0.2.207:9568
CCTV-17,http://120.10.101.13:4000/rtp/239.253.93.150:6318
卫视频道,#genre#
广东卫视,http://171.120.86.128:8085/rtp/226.0.2.146:9080$1920x1080
广东卫视,http://124.230.56.162:55555/rtp/239.76.252.189:9000$1920x1080
广东卫视,http://sweetown.fun:4000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://114.226.231.240:5566/rtp/239.49.1.39:6000$720x576
广东卫视,http://171.120.86.128:8085/rtp/226.0.2.45:8272$720x576
广东卫视,http://115.171.216.51:4000/rtp/225.1.8.151:8132$720x576
广东卫视,http://171.118.171.98:8085/rtp/226.0.2.146:9080
广东卫视,http://171.118.171.98:8085/rtp/226.0.2.45:8272
浙江卫视,http://114.226.231.240:5566/rtp/239.49.1.34:6000$720x576
浙江卫视,http://171.117.245.185:8084/rtp/226.0.2.36:8200$720x576
浙江卫视,http://115.171.216.51:4000/rtp/225.1.8.133:8284$720x576
浙江卫视,http://183.185.167.58:8082/rtp/226.0.2.36:8200$720x576
浙江卫视,http://171.118.171.98:8085/rtp/226.0.2.144:9064
浙江卫视,http://171.118.171.98:8085/rtp/226.0.2.36:8200
浙江卫视,http://120.10.101.13:4000/rtp/239.253.92.90:8020
浙江卫视,http://114.226.231.241:5566/rtp/239.49.1.34:6000
湖南卫视,http://124.64.189.63:8888/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://171.116.182.180:8085/rtp/226.0.2.143:9056$1920x1080
湖南卫视,http://sweetown.fun:4000/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://171.120.86.128:8085/rtp/226.0.2.33:8176$720x576
湖南卫视,http://183.185.167.58:8082/rtp/226.0.2.33:8176$720x576
湖南卫视,http://171.116.182.180:8085/rtp/226.0.2.33:8176$720x576
湖南卫视,http://171.118.171.98:8085/rtp/226.0.2.143:9056
湖南卫视,http://171.118.171.98:8085/rtp/226.0.2.33:8176
北京卫视,http://114.226.231.240:5566/rtp/239.49.1.33:6000$720x576
北京卫视,http://171.118.171.98:8085/rtp/226.0.2.177:9328
北京卫视,http://171.118.171.98:8085/rtp/226.0.2.39:8224
北京卫视,http://120.10.101.13:4000/rtp/239.253.92.87:8014
北京卫视,http://114.226.231.241:5566/rtp/239.49.1.33:6000
北京卫视,http://114.226.231.241:5566/rtp/239.49.8.141:6000
北京卫视,http://124.129.78.38:3333/rtp/239.253.254.85:8000
北京卫视,http://223.215.52.103:58888/rtp/238.1.78.162:7168
湖北卫视,http://171.116.182.180:8085/rtp/226.0.2.150:9112$1920x1080
湖北卫视,http://124.129.78.38:3333/rtp/239.253.254.88:8000$1920x1080
湖北卫视,http://sweetown.fun:4000/rtp/239.3.1.138:8044$1920x1080
湖北卫视,http://171.120.86.128:8085/rtp/226.0.2.49:8304$720x576
湖北卫视,http://171.118.171.98:8085/rtp/226.0.2.150:9112
湖北卫视,http://171.118.171.98:8085/rtp/226.0.2.49:8304
湖北卫视,http://120.10.101.13:4000/rtp/239.253.92.210:6567
湖北卫视,http://114.226.231.241:5566/rtp/239.49.1.48:6000
黑龙江卫视,http://sweetown.fun:4000/rtp/239.3.1.133:8016$1920x1080
黑龙江卫视,http://171.120.86.128:8085/rtp/226.0.2.48:8296$720x576
黑龙江卫视,http://114.226.231.240:5566/rtp/239.49.1.50:6000$720x576
黑龙江卫视,http://171.117.245.185:8084/rtp/226.0.2.48:8296$720x576
黑龙江卫视,http://115.171.216.51:4000/rtp/225.1.8.141:8196$720x576
黑龙江卫视,http://171.120.57.130:8085/rtp/226.0.2.48:8296$720x576
黑龙江卫视,http://171.116.182.180:8085/rtp/226.0.2.48:8296$720x576
黑龙江卫视,http://171.118.171.98:8085/rtp/226.0.2.151:9120
安徽卫视,http://171.120.57.130:8085/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://sweetown.fun:4000/rtp/239.3.1.211:8064$1920x1080
安徽卫视,http://171.116.182.180:8085/rtp/226.0.2.145:9072$1920x1080
安徽卫视,http://171.117.245.185:8084/rtp/226.0.2.37:8208$720x576
安徽卫视,http://114.226.231.240:5566/rtp/239.49.1.36:6000$720x576
